transaction_id,original_address,normalized_address,house,street,strtype,apttype,aptnbr,city,state,zip
none-217-north-11th-street-unit-1-brooklyn-ny-11211,217 North 11th Street Unit 1,217 N 11TH ST 1,217,11th,Street,Unit,1,,,
none-217-219-devoe-street-none-brooklyn-ny-11211,217-219 Devoe Street,217-219 DEVOE ST,217-219,Devoe,Street,,,,,
none-222-withers-street-unit-2a-brooklyn-ny-11211,222 Withers Street Unit 2A,222 WITHERS ST 2A,222,Withers,Street,Unit,2A,,,
none-north-6th-street-unit-2r-brooklyn-ny-11211,North 6th Street Unit 2R,N 6TH ST 2R,,6th,Street,Unit,2R,,,
none-191-withers-street-unit-1r-brooklyn-ny-11211,191 Withers Street Unit 1R,191 WITHERS ST 1R,191,Withers,Street,Unit,1R,,,
none-96-woodpoint-road-unit-3a-brooklyn-ny-11211,96 Woodpoint Road Unit 3A,96 WOODPOINT RD 3A,96,Woodpoint,Road,Unit,3A,,,
none-2-bayard-street-unit-2d-brooklyn-ny-11211,2 Bayard Street Unit 2D,2 BAYARD ST 2D,2,Bayard,Street,Unit,2D,,,
none-150-north-5th-street-unit-3j-brooklyn-ny-11211,150 North 5th Street Unit 3J,150 N 5TH ST 3J,150,5th,Street,Unit,3J,,,
none-north-8th-street-none-brooklyn-ny-11211,North 8th Street,N 8TH ST,,8th,Street,,,,,
none-74-jackson-street-unit-garden-brooklyn-ny-11211,74 Jackson Street Unit GARDEN,74 JACKSON ST GARDEN,74,Jackson,Street,,,Unit GARDEN,,
none-jackson-street-unit-5-brooklyn-ny-11211,Jackson Street Unit 5,JACKSON ST 5,,Jackson,Street,Unit,5,,,
none-88-withers-street-unit-ph3-brooklyn-ny-11211,88 Withers Street Unit PH3,88 WITHERS ST PH3,88,Withers,Street,Unit,PH3,,,
none-devoe-street-unit-2r-brooklyn-ny-11211,Devoe Street Unit 2R,DEVOE ST 2R,,Devoe,Street,Unit,2R,,,
none-havemeyer-street-none-brooklyn-ny-11211-0,Havemeyer Street,HAVEMEYER ST,,Havemeyer,Street,,,,,
none-havemeyer-street-none-brooklyn-ny-11211,Havemeyer Street,HAVEMEYER ST,,Havemeyer,Street,,,,,
none-jackson-street-unit-3b-brooklyn-ny-11211,Jackson Street Unit 3B,JACKSON ST 3B,,Jackson,Street,Unit,3B,,,
none-north-8th-street-unit-ph-brooklyn-ny-11211,North 8th Street Unit PH,N 8TH ST PH,,8th,Street,Unit,PH,,,
none-684-lorimer-street-none-brooklyn-ny-11211,684 Lorimer Street,684 LORIMER ST,684,Lorimer,Street,,,,,
none-30-bushwick-avenue-unit-5c-brooklyn-ny-11211,30 Bushwick Avenue Unit 5C,30 BUSHWICK AVE 5C,30,Bushwick,Avenue,Unit,5C,,,
none-590-lorimer-street-unit-1-brooklyn-ny-11211,590 Lorimer Street Unit 1,590 LORIMER ST 1,590,Lorimer,Street,Unit,1,,,
none-270-south-2nd-street-none-brooklyn-ny-11211,270 South 2nd Street,270 S 2ND ST,270,2nd,Street,,,,,
none-128-woodpoint-road-unit-2-brooklyn-ny-11211,128 Woodpoint Road Unit 2,128 WOODPOINT RD 2,128,Woodpoint,Road,Unit,2,,,
none-135-jackson-street-unit-1b-brooklyn-ny-11211,135 Jackson Street Unit 1B,135 JACKSON ST 1B,135,Jackson,Street,Unit,1B,,,
none-390-manhattan-avenue-unit-ph-brooklyn-ny-11211,390 Manhattan Avenue Unit PH,390 MANHATTAN AVE PH,390,Manhattan,Avenue,Unit,PH,,,
none-390-manhattan-avenue-unit-2-brooklyn-ny-11211,390 Manhattan Avenue Unit 2,390 MANHATTAN AVE 2,390,Manhattan,Avenue,Unit,2,,,
none-union-avenue-unit-5c-brooklyn-ny-11211,Union Avenue Unit 5C,UNION AVE 5C,,Union,Avenue,Unit,5C,,,
none-30-bushwick-avenue-unit-2a-brooklyn-ny-11211,30 Bushwick Avenue Unit 2A,30 BUSHWICK AVE 2A,30,Bushwick,Avenue,Unit,2A,,,
none-bedford-avenue-unit-8-brooklyn-ny-11211,Bedford Avenue Unit 8,BEDFORD AVE 8,,Bedford,Avenue,Unit,8,,,
none-96-roebling-street-none-brooklyn-ny-11211,96 Roebling Street,96 ROEBLING ST,96,Roebling,Street,,,,,
none-212-north-9th-street-unit-3c-brooklyn-ny-11211,212 North 9th Street Unit 3C,212 N 9TH ST 3C,212,9th,Street,Unit,3C,,,
none-170-north-11th-street-unit-3d-brooklyn-ny-11211,170 North 11th Street Unit 3D,170 N 11TH ST 3D,170,11th,Street,Unit,3D,,,
